Model Ke-,Layer ResNet,Data,batch_size,Precision,Recall,F1-Score
1,50,Tanpa Augmentasi,16,0.1163829867634039,0.1511571841851494,0.0577635414812177
2,50,Tanpa Augmentasi,32,0.3273120836019773,0.3382325674352307,0.2926257881712036
3,101,Tanpa Augmentasi,16,0.1707344656686761,0.1954445923582183,0.1091599570450189
4,101,Tanpa Augmentasi,32,0.0518508310961329,0.1335252967778405,0.0608594657375145
5,152,Tanpa Augmentasi,16,0.0577275884162594,0.1640597603740503,0.0815822958715936
6,152,Tanpa Augmentasi,32,0.3001285821234523,0.2880051575623928,0.2691067453330427
7,50,Augmentasi,16,0.3628212529274313,0.4224263007992068,0.3522741788552707
8,50,Augmentasi,32,0.2938284324772501,0.3693952570827963,0.286134732553493
9,101,Augmentasi,16,0.0141039823008849,0.125,0.0253479125248508
10,101,Augmentasi,32,0.3043162358769132,0.2772200486597632,0.2528408879573391
11,152,Augmentasi,16,0.1225930758700417,0.1921464701899577,0.1230753540747735
12,152,Augmentasi,32,0.1686880542514345,0.2258622650514632,0.1547515865031881
